Unnamed: 0,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp,Population_Density
7339,24th week,West Bengal,Darjeeling,Acute Diarrhoeal Disease,183,0.0,2,6,2011,26.8700325,88.3608759,0.7972522722,,302.212,1030
7340,24th week,West Bengal,Howrah,Acute Diarrhoeal Disease,145,1.0,3,6,2011,22.5736296,88.3251045,0.3472671727,13.0,303.756,1030
7341,25th week,Assam,Hailakandi,Malaria,275,5.0,17,6,2011,24.68845365,92.57381528,0.6068332427,,,397
7342,25th week,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,23,0.0,26,6,2011,14.6546235,77.55625984,0.02771473402,,307.82,308
7343,25th week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,25,0.0,24,6,2011,15.8309251,78.0425373,0.04302627188,4.0,308.54,308
7344,25th week,Telangana,Medak,Acute Diarrhoeal Disease,14,0.0,20,6,2011,17.9375095,78.21174499,0.1089427438,5.0,308.4133334,312
7345,25th week,Andhra Pradesh,Prakasam,Acute Diarrhoeal Disease,28,0.0,23,6,2011,15.6589741,79.47164373,0.003870045437,6.0,312.76,308
7346,25th week,Bihar,Muzaffarpur,Acute Encephalitis Syndrome,129,45.0,14,6,2011,26.1486581,85.34001282,0.2191638826,8.0,303.74,1102
7347,25th week,Bihar,Saharsa,Acute Diarrhoeal Disease,35,1.0,25,6,2011,25.83264165,86.61489283,0.6846782762,,303.93,1102
7348,25th week,Chhattisgarh,Surguja,Acute Diarrhoeal Disease,14,0.0,19,6,2011,23.25,83.0,0.7238169476,4.0,309.91,189
7349,25th week,Chhattisgarh,Surguja,Acute Diarrhoeal Disease,13,0.0,22,6,2011,23.25,83.0,4.658152069,4.0,,189
7350,25th week,Karnataka,Belgaum,Acute Diarrhoeal Disease,14,0.0,23,6,2011,15.8572666,74.5069343,0.4702891641,7.0,299.12,319
7351,25th week,Karnataka,Bijapur,Acute Diarrhoeal Disease,20,0.0,24,6,2011,16.8269911,75.7175387,0.1059465824,3.0,304.2,319
7352,25th week,Karnataka,Dharwad,Acute Diarrhoeal Disease,16,0.0,14,6,2011,15.4540505,75.0066516,0.4532418621,3.0,308.56,319
7353,25th week,Karnataka,Dharwad,Acute Diarrhoeal Disease,23,0.0,21,6,2011,15.4540505,75.0066516,0.5387733877,2.0,,319
7354,25th week,Karnataka,Hassan,Acute Diarrhoeal Disease,62,0.0,18,6,2011,13.0070817,76.0992703,0.4507795058,,299.87,319
7355,25th week,Kerala,Wayanad,Cholera,74,6.0,20,6,2011,11.715219,76.12690295,0.9403759716,16.0,296.02,859
7356,25th week,Maharashtra,Wardha,Acute Encephalitis Syndrome,6,1.0,18,6,2011,20.82562315,78.6131455,0.2075795426,,314.5733334,365
7357,25th week,Odisha,Puri,Acute Diarrhoeal Disease,13,0.0,17,6,2011,19.8076083,85.8252538,1.512027125,,307.1066666,269
7358,25th week,West Bengal,Bankura,Acute Diarrhoeal Disease,46,0.0,21,6,2011,23.13195425,87.2073972,3.191792775,7.0,,1030
7359,25th week,West Bengal,Bankura,Acute Diarrhoeal Disease,33,1.0,25,6,2011,23.13195425,87.2073972,0.645807605,,301.64,1030
7360,25th week,West Bengal,Burdwan,Acute Diarrhoeal Disease,89,0.0,17,6,2011,23.2495714,87.8681751,1.322711214,,310.18,1030
7361,25th week,West Bengal,Burdwan,Acute Diarrhoeal Disease,32,0.0,22,6,2011,23.2495714,87.8681751,3.056996042,4.0,302.64,1030
7362,25th week,West Bengal,Jalpaiguri,Acute Diarrhoeal Disease,11,1.0,12,6,2011,26.4733048,88.67886686,0.6625597915,24.0,300.9966666,1030
7363,25th week,Maharashtra,Latur,Acute Diarrhoeal Disease,78,0.0,7,6,2011,18.35159075,76.75542361,0.3281226344,3.0,316.71,365
7364,25th week,Assam,Chirang,Malaria,293,0.0,10,6,2011,26.6464231,90.62415699,0.5327824378,,299.79200000000003,397
7365,25th week,Assam,Udalguri,Cholera,404,6.0,14,6,2011,26.77253155,92.10641749,0.4512064029,15.0,296.445,397
7366,25th week,Karnataka,Hassan,Acute Diarrhoeal Disease,86,0.0,12,6,2011,13.0070817,76.0992703,0.1255512573,6.0,298.895,319
7367,25th week,Tamil Nadu,Virudhunagar,Acute Diarrhoeal Disease,25,0.0,12,6,2011,9.5208936,77.8784564,0.03158357145,7.0,314.315,555
7368,25th week,West Bengal,Jalpaiguri,Acute Diarrhoeal Disease,54,1.0,23,5,2011,26.4733048,88.67886686,0.8194955368,18.0,296.37333340000004,1030
7369,26th week,Bihar,Munger,Malaria,64,0.0,20,6,2011,25.22081165,86.51720367,1.157159943,8.0,303.26,1102
7370,26th week,Bihar,Saharsa,Acute Diarrhoeal Disease,30,0.0,25,6,2011,25.83264165,86.61489283,0.6846782762,,303.93,1102
7371,26th week,Chhattisgarh,Korba,Acute Diarrhoeal Disease,74,1.0,21,6,2011,22.3547468,82.7110855,2.57165078,8.0,304.86,189
7372,26th week,Jammu and Kashmir,Kupwara,Acute Diarrhoeal Disease,30,0.0,24,6,2011,34.6110236,74.23847867,0.04036077743,14.0,293.0733334,56
7373,26th week,Jammu and Kashmir,Kupwara,Acute Diarrhoeal Disease,153,0.0,21,6,2011,34.6110236,74.23847867,0.04643615595,14.0,292.6433334,56
7374,26th week,Karnataka,Bijapur,Acute Diarrhoeal Disease,31,0.0,24,6,2011,16.8269911,75.7175387,0.1059465824,3.0,304.2,319
7375,26th week,Karnataka,Chitradurga,Malaria,20,0.0,20,6,2011,14.2266443,76.4005122,0.3169468149,4.0,300.84000000000003,319
7376,26th week,Karnataka,Davangere,Cholera,29,0.0,27,6,2011,14.4679807,75.9195682,0.2486476566,4.0,297.78000000000003,319
7377,26th week,Karnataka,Ramanagara,Acute Diarrhoeal Disease,16,0.0,1,7,2011,12.7252766,77.2804797,0.2616385256,6.0,304.94,319
7378,26th week,Maharashtra,Pune,Acute Diarrhoeal Disease,311,0.0,20,6,2011,18.521428,73.8544541,0.5102087662,4.0,300.08,365
7379,26th week,Tamil Nadu,Cuddalore,Acute Diarrhoeal Disease,31,0.0,27,6,2011,11.7564329,79.7634644,0.1460372828,9.0,309.02500000000003,555
7380,26th week,Uttar Pradesh,Balrampur,Acute Diarrhoeal Disease,9,1.0,19,6,2011,27.4504805,82.39541774,0.3563857428,4.0,304.92,828
7381,26th week,West Bengal,Birbhum,Acute Diarrhoeal Disease,55,0.0,2,7,2011,24.0,87.583333,1.554170713,2.0,,1030
7382,26th week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,28,0.0,24,6,2011,15.8309251,78.0425373,0.04302627188,4.0,308.54,308
7383,26th week,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,82,0.0,26,6,2011,14.6546235,77.55625984,0.02771473402,,307.82,308
7384,26th week,Assam,Chirang,Malaria,295,2.0,4,6,2011,26.6464231,90.62415699,0.9579910839,39.0,299.51,397
7385,26th week,Bihar,Muzaffarpur,Acute Encephalitis Syndrome,132,46.0,14,6,2011,26.1486581,85.34001282,0.2191638826,8.0,303.74,1102
7386,26th week,Kerala,Wayanad,Cholera,183,6.0,26,6,2011,11.715219,76.12690295,0.3521378464,,295.24,859
7387,26th week,Maharashtra,Wardha,Acute Encephalitis Syndrome,3,1.0,23,6,2011,20.82562315,78.6131455,0.208939177,2.0,311.32,365
7388,26th week,Maharashtra,Latur,Acute Diarrhoeal Disease,81,0.0,7,6,2011,18.35159075,76.75542361,0.3281226344,3.0,316.71,365
7389,26th week,West Bengal,Burdwan,Acute Diarrhoeal Disease,101,0.0,17,6,2011,23.2495714,87.8681751,1.322711214,,310.18,1030
7390,26th week,West Bengal,Jalpaiguri,Acute Diarrhoeal Disease,11,1.0,12,6,2011,26.4733048,88.67886686,0.6625597915,24.0,300.9966666,1030
7391,27th week,Andhra Pradesh,Nellore,Acute Diarrhoeal Disease,15,0.0,5,7,2011,13.4923257,79.202539,0.2991829626,10.0,311.16,308
7392,27th week,Assam,Jorhat,Acute Encephalitis Syndrome,12,2.0,2,7,2011,26.7577925,94.2079645,2.117842053,7.0,294.3066666,397
7393,27th week,Bihar,Gaya,Acute Diarrhoeal Disease,10,0.0,28,6,2011,24.7964355,85.0079563,0.6186381679,5.0,310.6,1102
7394,27th week,Bihar,Gaya,Malaria,53,0.0,27,6,2011,24.7964355,85.0079563,0.3909727362,5.0,310.6,1102
7395,27th week,Gujarat,Jamnagar,Cholera,1,0.0,27,6,2011,22.4732415,70.0552102,0.06156902892,2.0,307.73,308
7396,27th week,Gujarat,Navsari,Cholera,46,0.0,3,7,2011,20.952407,72.9323831,0.1507648294,,306.8,308
7397,27th week,Karnataka,Bijapur,Chikungunya,27,0.0,8,7,2011,16.8269911,75.7175387,0.5030010184,3.0,,319
7398,27th week,Karnataka,Ramanagara,Acute Diarrhoeal Disease,16,0.0,1,7,2011,12.7252766,77.2804797,0.2616385256,6.0,304.94,319
7399,27th week,Karnataka,Koppal,Acute Diarrhoeal Disease,28,0.0,9,7,2011,15.3484144,76.1547421,0.256857266,4.0,302.38,319
7400,27th week,Madhya Pradesh,Betul,Chikungunya,252,0.0,5,7,2011,21.8796162,77.87568125,0.3515865295,6.0,301.2666666,236
7401,27th week,Tamil Nadu,Thiruvarur,Acute Diarrhoeal Disease,24,0.0,2,7,2011,10.73618605,79.63318659,0.131480009,9.0,309.84000000000003,555
7402,27th week,Tamil Nadu,Salem,Dengue,8,0.0,7,7,2011,11.0600516,77.0679581,0.6842715098,8.0,305.40000000000003,555
7403,27th week,West Bengal,Malda,Malaria,148,0.0,3,7,2011,25.0057449,88.1398483,1.795823537,,300.38,1030
7404,27th week,Telangana,Khammam,Acute Diarrhoeal Disease,23,0.0,21,6,2011,17.5,80.333333,0.2141278393,7.0,312.58,312
7405,27th week,Andhra Pradesh,Nellore,Acute Diarrhoeal Disease,81,1.0,19,6,2011,13.4923257,79.202539,0.09398346726,9.0,,308
7406,27th week,Chhattisgarh,Korba,Acute Diarrhoeal Disease,14,0.0,11,6,2011,22.3547468,82.7110855,0.1499607163,8.0,311.99,189
7407,27th week,Chhattisgarh,Korba,Acute Diarrhoeal Disease,74,0.0,21,6,2011,22.3547468,82.7110855,2.57165078,8.0,304.86,189
7408,27th week,Chhattisgarh,Kawardha,Cholera,74,1.0,21,6,2011,22.0059254,81.2332055,0.7844003495,5.0,304.56,189
7409,27th week,Karnataka,Chitradurga,Malaria,20,0.0,20,6,2011,14.2266443,76.4005122,0.3169468149,4.0,300.84000000000003,319
7410,27th week,Odisha,Bhubaneshwar,Acute Diarrhoeal Disease,21,0.0,23,6,2011,20.2602964,85.8394521,0.9499887962,10.0,304.24,269
7411,27th week,Odisha,Bhubaneshwar,Acute Diarrhoeal Disease,14,0.0,15,4,2011,20.2602964,85.8394521,0.03315598691,,310.132,269
7412,27th week,Andhra Pradesh,Prakasam,Acute Diarrhoeal Disease,28,0.0,23,6,2011,15.6589741,79.47164373,0.003870045437,6.0,312.76,308
7413,27th week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,28,0.0,24,6,2011,15.8309251,78.0425373,0.04302627188,4.0,308.54,308
7414,27th week,Assam,Udalguri,Cholera,404,6.0,14,6,2011,26.77253155,92.10641749,0.4512064029,15.0,296.445,397
7415,27th week,Bihar,Muzaffarpur,Acute Encephalitis Syndrome,147,52.0,14,6,2011,26.1486581,85.34001282,0.2191638826,8.0,303.74,1102
7416,27th week,West Bengal,Bankura,Dengue,12,0.0,1,7,2011,23.13195425,87.2073972,1.000746546,5.0,,1030
7417,28th week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,10,0.0,14,7,2011,14.4752936,78.8216861,0.1299988478,5.0,308.85,308
7418,28th week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,121,0.0,10,7,2011,15.8309251,78.0425373,0.4360617358,6.0,306.2,308
7419,28th week,Andhra Pradesh,Nellore,Acute Diarrhoeal Disease,31,1.0,14,7,2011,13.4923257,79.202539,0.08416464069,6.0,306.9666666,308
7420,28th week,Assam,Dhemaji,Acute Encephalitis Syndrome,3,1.0,3,7,2011,27.4668315,94.51786509,1.32918677,,297.44,397
7421,28th week,Bihar,Lakhisarai,Acute Diarrhoeal Disease,21,0.0,13,7,2011,25.1677029,86.05935924,0.4218848428,7.0,303.79,1102
7422,28th week,Bihar,Sheikhpura,Acute Diarrhoeal Disease,26,2.0,8,7,2011,25.12635425,85.81510621,0.2409636812,16.0,303.47,1102
7423,28th week,Chhattisgarh,Raipur,Malaria,12,0.0,11,7,2011,21.2380912,81.6336993,0.734562559,,303.38,189
7424,28th week,Gujarat,Panchmahal,Acute Diarrhoeal Disease,4,1.0,17,7,2011,22.7748893,73.620404,0.5380064098,2.0,,308
7425,28th week,Haryana,Gurgaon,Dengue,2,1.0,17,7,2011,28.42826235,77.00270015,0.4909773682,7.0,307.66,573
7426,28th week,Jharkhand,East Singhbhum,Chikungunya,135,0.0,15,7,2011,22.8092139,86.2091549,0.4403591812,6.0,305.40000000000003,414
7427,28th week,Karnataka,Raichur,Acute Diarrhoeal Disease,18,0.0,8,7,2011,16.083333,77.166667,0.4313192293,3.0,,319
7428,28th week,Karnataka,Gadag,Acute Diarrhoeal Disease,25,0.0,11,7,2011,15.4206667,75.6225644,0.3450842097,,303.82,319
7429,28th week,Karnataka,Dakshin Kannada,Dengue,2,1.0,14,7,2011,12.8827367,75.0309089,0.9799181476,2.0,298.93,319
7430,28th week,Kerala,Palakkad,Cholera,2,0.0,5,7,2011,10.78789845,76.47408711,0.5278793096,18.0,299.384,859
7431,28th week,Madhya Pradesh,Indore,Cholera,1,0.0,17,7,2011,22.7665444,75.9006944,0.9746025282,3.0,,236
7432,28th week,Madhya Pradesh,Sagar,Acute Diarrhoeal Disease,10,1.0,10,7,2011,23.80961225,78.75911361,1.143457379,9.0,308.98,236
7433,28th week,Maharashtra,Ratnagiri,Malaria,50,0.0,13,7,2011,17.2826079,73.4569787,1.874268349,5.0,298.6666666,365
7434,28th week,Maharashtra,Thane,Acute Diarrhoeal Disease,12,0.0,15,7,2011,19.1943294,72.9701779,1.813297364,3.0,300.14,365
7435,28th week,Maharashtra,Thane,Acute Diarrhoeal Disease,33,0.0,17,7,2011,19.1943294,72.9701779,1.762513073,3.0,,365
7436,28th week,Odisha,Malkangiri,Malaria,76,0.0,7,7,2011,18.35835435,81.89823749,1.351279958,11.0,,269
7437,28th week,Odisha,Sundargarh,Acute Diarrhoeal Disease,12,0.0,12,7,2011,22.13327195,83.9796528,0.7137109566,,299.93,269
7438,28th week,Rajasthan,Alwar,Cholera,99,0.0,8,7,2011,27.5,76.5,0.09057020661,9.0,307.6866666,201
7439,28th week,Uttarakhand,Bageshwar,Acute Diarrhoeal Disease,19,0.0,15,7,2011,30.0084975,79.93004575,1.19183345,25.0,274.116,189
7440,28th week,Assam,Barpeta,Acute Encephalitis Syndrome,7,5.0,30,6,2011,26.34142215,91.01674328,3.232256414,4.0,,397
7441,28th week,Assam,Golaghat,Acute Encephalitis Syndrome,10,1.0,15,5,2011,26.40490095,94.03209112,0.3332368067,22.0,300.585,397
7442,28th week,Assam,Jorhat,Acute Encephalitis Syndrome,6,2.0,29,6,2011,26.7577925,94.2079645,1.440916452,7.0,295.54,397
7443,28th week,Assam,Morigaon,Acute Encephalitis Syndrome,20,1.0,21,6,2011,26.2551482,92.3290878,1.266541457,14.0,301.85,397
7444,28th week,Kerala,Kottayam,Dengue,3,0.0,25,6,2011,9.6287383,76.64553257,0.4907402117,,299.57,859
7445,28th week,Kerala,Ernakulam,Dengue,3,0.0,28,6,2011,9.98408,76.2741457,0.8872893945,20.0,298.85,859
7446,28th week,Rajasthan,Dholpur,Acute Diarrhoeal Disease,113,4.0,2,7,2011,26.7010642,77.896749,0.7531481687,6.0,295.95,201
7447,28th week,Tamil Nadu,Salem,Chikungunya,60,0.0,27,6,2011,11.0600516,77.0679581,0.08771809858,10.0,302.875,555
7448,28th week,Tamil Nadu,Thanjavur,Acute Diarrhoeal Disease,25,0.0,27,6,2011,10.7860267,79.1381497,0.09185294468,6.0,310.8666666,555
7449,28th week,Bihar,Muzaffarpur,Acute Encephalitis Syndrome,148,54.0,14,6,2011,26.1486581,85.34001282,0.2191638826,8.0,303.74,1102
7450,28th week,Karnataka,Ballari,Chikungunya,76,0.0,9,7,2011,15.2485413,76.8323648,0.3032863327,4.0,,319
7451,28th week,Karnataka,Koppal,Acute Diarrhoeal Disease,33,0.0,9,7,2011,15.3484144,76.1547421,0.256857266,4.0,302.38,319
7452,28th week,West Bengal,Malda,Malaria,234,0.0,3,7,2011,25.0057449,88.1398483,1.795823537,,300.38,1030
7453,28th week,West Bengal,Bankura,Acute Diarrhoeal Disease,36,0.0,30,6,2011,23.13195425,87.2073972,0.8836813648,5.0,,1030
7454,28th week,West Bengal,Darjeeling,Acute Diarrhoeal Disease,183,0.0,2,6,2011,26.8700325,88.3608759,0.7972522722,,302.212,1030
7455,29th week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,10,0.0,14,7,2011,14.4752936,78.8216861,0.1299988478,5.0,308.85,308
7456,29th week,Assam,Sonitpur,Acute Diarrhoeal Disease,47,2.0,21,7,2011,26.76777075,92.70140886,2.508183342,7.0,299.18,397
7457,29th week,Bihar,Rohtas,Acute Diarrhoeal Disease,35,0.0,21,7,2011,24.6723487,83.92090397,0.8308785022,11.0,296.54,1102
7458,29th week,Bihar,Lakhisarai,Malaria,12,0.0,13,7,2011,25.1677029,86.05935924,0.4218848428,7.0,303.79,1102
7459,29th week,Chhattisgarh,Janjgir,Malaria,35,0.0,16,7,2011,22.0090841,82.578896,0.6866423832,6.0,299.2933334,189
7460,29th week,Gujarat,Panchmahal,Acute Diarrhoeal Disease,4,1.0,17,7,2011,22.7748893,73.620404,0.5380064098,2.0,,308
7461,29th week,Jharkhand,East Singhbhum,Acute Diarrhoeal Disease,35,0.0,19,7,2011,22.8092139,86.2091549,0.5118694729,,,414
7462,29th week,Karnataka,Bidar,Acute Diarrhoeal Disease,78,1.0,12,7,2011,18.083333,77.333333,0.6174244665,,303.93,319
7463,29th week,Karnataka,Ballari,Acute Diarrhoeal Disease,28,3.0,10,7,2011,15.2485413,76.8323648,0.2808323906,4.0,308.98,319
7464,29th week,Karnataka,Chitradurga,Acute Diarrhoeal Disease,16,1.0,23,7,2011,14.2266443,76.4005122,0.2982476916,6.0,,319
7465,29th week,Karnataka,Haveri,Acute Diarrhoeal Disease,10,0.0,19,7,2011,14.7874825,75.3996731,2.526187658,,294.52,319
7466,29th week,Karnataka,Raichur,Acute Diarrhoeal Disease,17,0.0,17,7,2011,16.083333,77.166667,0.5177588944,3.0,310.92,319
7467,29th week,Madhya Pradesh,Narsinghpur,Acute Diarrhoeal Disease,46,0.0,21,7,2011,22.9467047,79.1980228,2.468751969,11.0,,236
7468,29th week,Madhya Pradesh,Chhindwara,Malaria,112,1.0,18,7,2011,22.13983105,78.80964495,1.197607026,5.0,305.86,236
7469,29th week,Madhya Pradesh,Hoshangabad,Acute Diarrhoeal Disease,39,0.0,18,7,2011,22.6001502,77.92664521,0.9277900127,3.0,288.76,236
7470,29th week,Madhya Pradesh,Dindori,Malaria,159,0.0,15,7,2011,22.90736865,80.8851143,0.406874965,8.0,305.48,236
7471,29th week,Maharashtra,Raigad,Cholera,67,0.0,11,7,2011,18.4928092,73.13807095,1.642483647,,294.96,365
7472,29th week,Punjab,Ludhiana,Cholera,7,0.0,23,7,2011,30.9090157,75.851601,0.0841842583,12.0,304.45,550
7473,29th week,Punjab,Kapurthala,Acute Diarrhoeal Disease,121,0.0,22,7,2011,31.38524095,75.30552274,0.1477764457,10.0,301.24,550
7474,29th week,Uttarakhand,Tehri,Acute Diarrhoeal Disease,8,0.0,23,7,2011,30.40260205,78.38835789,0.7451201882,10.0,297.27,189
7475,29th week,West Bengal,24 North Parganas,Acute Diarrhoeal Disease,76,0.0,13,7,2011,22.5998923,88.40887363,0.4891034868,5.0,301.11333340000004,1030
7476,29th week,West Bengal,Murshidabad,Acute Diarrhoeal Disease,13,1.0,23,7,2011,24.1745993,88.2721335,1.323108293,7.0,287.72,1030
7477,29th week,Bihar,Gaya,Acute Diarrhoeal Disease,10,0.0,28,6,2011,24.7964355,85.0079563,0.6186381679,5.0,310.6,1102
7478,29th week,Maharashtra,Thane,Dengue,32,0.0,6,7,2011,19.1943294,72.9701779,0.3124026777,8.0,299.08,365
7479,29th week,Maharashtra,Thane,Dengue,11,0.0,4,7,2011,19.1943294,72.9701779,0.4675601562,,300.62,365
7480,29th week,Assam,Jorhat,Acute Encephalitis Syndrome,5,2.0,29,6,2011,26.7577925,94.2079645,1.440916452,7.0,295.54,397
7481,29th week,Assam,Dhemaji,Acute Encephalitis Syndrome,5,1.0,7,7,2011,27.4668315,94.51786509,0.9987289011,7.0,283.27,397
7482,29th week,Bihar,Munger,Malaria,100,0.0,10,7,2011,25.22081165,86.51720367,0.5201114038,8.0,302.40000000000003,1102
7483,29th week,Haryana,Gurgaon,Dengue,3,1.0,17,7,2011,28.42826235,77.00270015,0.4909773682,7.0,307.66,573
7484,29th week,Jharkhand,East Singhbhum,Chikungunya,1014,0.0,15,7,2011,22.8092139,86.2091549,0.4403591812,6.0,305.40000000000003,414
7485,29th week,Tamil Nadu,Salem,Chikungunya,58,0.0,12,7,2011,11.0600516,77.0679581,0.3025321207,,307.3466666,555
7486,29th week,West Bengal,Bankura,Dengue,12,0.0,1,7,2011,23.13195425,87.2073972,1.000746546,5.0,,1030
7487,29th week,West Bengal,Malda,Malaria,236,0.0,3,7,2011,25.0057449,88.1398483,1.795823537,,300.38,1030
7488,30th week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,21,0.0,30,7,2011,15.8309251,78.0425373,0.9857051618,4.0,303.18,308
7489,30th week,Bihar,Gaya,Acute Diarrhoeal Disease,24,0.0,22,7,2011,24.7964355,85.0079563,1.014264877,10.0,,1102
7490,30th week,Bihar,Gaya,Acute Diarrhoeal Disease,18,0.0,18,7,2011,24.7964355,85.0079563,0.2586561295,8.0,,1102
7491,30th week,Bihar,Katihar,Acute Diarrhoeal Disease,19,1.0,26,7,2011,25.5591001,87.64745596,0.4385494543,8.0,302.41,1102
7492,30th week,Karnataka,Bagalkot,Acute Diarrhoeal Disease,12,0.0,27,7,2011,16.1853166,75.6967919,0.451196074,,306.12,319
7493,30th week,Karnataka,Chitradurga,Acute Diarrhoeal Disease,16,1.0,23,7,2011,14.2266443,76.4005122,0.2982476916,6.0,,319
7494,30th week,Karnataka,Hassan,Acute Diarrhoeal Disease,73,0.0,25,7,2011,13.0070817,76.0992703,0.3536393273,8.0,,319
7495,30th week,Karnataka,Tumkur,Chikungunya,15,0.0,27,7,2011,13.3400771,77.1006208,0.3013353432,,305.86,319
7496,30th week,Karnataka,Udupi,Malaria,130,0.0,25,7,2011,13.3419169,74.7473232,3.118854669,4.0,,319
7497,30th week,Madhya Pradesh,Ashok Nagar,Acute Diarrhoeal Disease,5,1.0,28,7,2011,24.6185442,77.8788306,1.688110326,,304.8,236
7498,30th week,Madhya Pradesh,Tikamgarh,Acute Diarrhoeal Disease,11,0.0,28,7,2011,24.85577805,79.04706347,0.8407158519,,304.2,236
7499,30th week,Madhya Pradesh,Tikamgarh,Acute Diarrhoeal Disease,46,0.0,25,7,2011,24.85577805,79.04706347,2.054977261,9.0,,236
7500,30th week,Madhya Pradesh,Vidisha,Acute Diarrhoeal Disease,59,1.0,26,7,2011,23.5225788,77.8148001,2.978363922,9.0,,236
7501,30th week,Maharashtra,Akola,Malaria,41,0.0,27,7,2011,20.76181225,77.19211567,0.5208832049,,309.8,365
7502,30th week,Maharashtra,Jalna,Acute Diarrhoeal Disease,29,0.0,29,7,2011,19.91883295,75.87085986,0.2865051658,3.0,302.49,365
7503,30th week,Maharashtra,Pune,Cholera,46,0.0,22,7,2011,18.521428,73.8544541,1.405453239,3.0,,365
7504,30th week,Odisha,Bolangir,Acute Diarrhoeal Disease,25,0.0,25,7,2011,20.7502257,83.2499464,0.7702000131,10.0,302.06,269
7505,30th week,Odisha,Ganjam,Acute Diarrhoeal Disease,12,0.0,25,7,2011,19.4129711,85.04710406,,9.0,304.05,269
7506,30th week,Tamil Nadu,Erode,Chikungunya,25,0.0,25,7,2011,11.3692044,77.67662687,0.3980800576,4.0,309.42,555
7507,30th week,Uttarakhand,Champawat,Acute Encephalitis Syndrome,1,1.0,20,7,2011,29.23631315,80.10172077,2.027111,,299.90000000000003,189
7508,30th week,West Bengal,Burdwan,Acute Diarrhoeal Disease,22,0.0,27,7,2011,23.2495714,87.8681751,0.3423232318,,301.44,1030
7509,30th week,West Bengal,Burdwan,Acute Diarrhoeal Disease,20,0.0,24,7,2011,23.2495714,87.8681751,0.9774922627,6.0,299.62,1030
7510,30th week,West Bengal,Murshidabad,Acute Diarrhoeal Disease,14,1.0,23,7,2011,24.1745993,88.2721335,1.323108293,7.0,287.72,1030
7511,30th week,Gujarat,Navsari,Acute Diarrhoeal Disease,19,0.0,11,7,2011,20.952407,72.9323831,1.454790023,,,308
7512,30th week,Maharashtra,Raigad,Acute Diarrhoeal Disease,101,0.0,11,7,2011,18.4928092,73.13807095,1.642483647,,294.96,365
7513,30th week,West Bengal,North 24 Parganas,Cholera,78,0.0,13,7,2011,22.642931,88.8930579,0.5312132695,9.0,299.40000000000003,1030
7514,30th week,Bihar,Muzaffarpur,Acute Encephalitis Syndrome,152,55.0,14,6,2011,26.1486581,85.34001282,0.2191638826,8.0,303.74,1102
7515,30th week,Bihar,Lakhisarai,Acute Diarrhoeal Disease,14,0.0,25,7,2011,25.1677029,86.05935924,0.5677844141,10.0,,1102
7516,30th week,Jharkhand,East Singhbhum,Chikungunya,3455,0.0,15,7,2011,22.8092139,86.2091549,0.4403591812,6.0,305.40000000000003,414
7517,30th week,Madhya Pradesh,Betul,Chikungunya,252,0.0,5,7,2011,21.8796162,77.87568125,0.3515865295,6.0,301.2666666,236
7518,30th week,Maharashtra,Raigad,Cholera,94,0.0,11,7,2011,18.4928092,73.13807095,1.642483647,,294.96,365
7519,30th week,Assam,Barpeta,Acute Encephalitis Syndrome,6,1.0,22,6,2011,26.34142215,91.01674328,1.161898615,10.0,294.2733334,397
7520,30th week,Bihar,Munger,Malaria,126,0.0,18,7,2011,25.22081165,86.51720367,0.4281015176,7.0,302.11,1102
7521,31st week,Telangana,Warangal,Acute Diarrhoeal Disease,20,0.0,2,8,2011,17.9820644,79.5970954,0.6781850556,6.0,303.3266666,312
7522,31st week,Bihar,Aurangabad,Acute Diarrhoeal Disease,18,0.0,7,8,2011,24.786306,84.41448983,1.013879826,2.0,,1102
7523,31st week,Bihar,Aurangabad,Acute Diarrhoeal Disease,8,2.0,24,7,2011,24.786306,84.41448983,0.8185006585,10.0,,1102
7524,31st week,Bihar,Katihar,Acute Diarrhoeal Disease,19,1.0,26,7,2011,25.5591001,87.64745596,0.4385494543,8.0,302.41,1102
7525,31st week,Bihar,Munger,Malaria,46,0.0,25,7,2011,25.22081165,86.51720367,0.5757491344,10.0,,1102
7526,31st week,Bihar,Patna,Acute Diarrhoeal Disease,7,2.0,25,7,2011,25.6093239,85.1235252,0.6912540655,9.0,,1102
7527,31st week,Bihar,Sheikhpura,Acute Diarrhoeal Disease,25,1.0,28,7,2011,25.12635425,85.81510621,0.1751022572,,303.0666666,1102
7528,31st week,Chhattisgarh,Bilaspur,Acute Encephalitis Syndrome,5,4.0,21,7,2011,21.98934025,82.10996499,1.152365277,8.0,,189
7529,31st week,Chhattisgarh,Bilaspur,Acute Diarrhoeal Disease,46,0.0,11,7,2011,21.98934025,82.10996499,0.6851938108,,,189
